%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1474475922395028810,5707,1474475922403111934,sparus2,0.00981362381221,-0.0377577022935,-0.899713521267,0.434733974236,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,-0.0106669867962,0.030601071727,0.0566398009546,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0153724477286,-0.957041149103,-9.66940668977,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1474475922505895110,5708,1474475922510025024,sparus2,0.0110537351525,-0.0360037346667,-0.898724358015,0.436893664798,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,-0.0170213208756,0.0350074091439,0.0480640566226,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0371904669303,-0.621299398819,-9.99758495976,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1474475922597762695,5709,1474475922601919889,sparus2,0.0123350606402,-0.0345735335613,-0.898201059717,0.438049510193,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,-0.00619226659133,0.0400768323609,0.0354953765203,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,-0.110283873485,-0.559697748872,-9.78795331028,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1474475922690053688,5710,1474475922699168920,sparus2,0.0140968642001,-0.0346082419169,-0.898249650141,0.437893952953,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.01372016103,0.0406832607444,0.0190181426036,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,-0.18044138324,-0.794519302914,-9.93888964575,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1474475922795239012,5711,1474475922801235914,sparus2,0.0173436460802,-0.035368061258,-0.898260336739,0.437694717384,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0298737131351,0.0465614214746,0.0123268017097,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0883617044993,-0.963658280435,-9.59761763198,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1474475922895975486,5712,1474475922899579048,sparus2,0.0198844490372,-0.0365547358822,-0.898389902483,0.437222990117,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0439711557132,0.0428862093986,0.00308373581264,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,-0.175258373628,-0.817043093583,-9.45239623555,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1474475922996621997,5713,1474475922998821973,sparus2,0.0230327874476,-0.0373357942786,-0.898782082811,0.436195250761,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0325336266939,0.0393111323224,-0.00981340299248,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.307288753477,-1.03216147238,-9.64132935339,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1474475923090500192,5714,1474475923095499992,sparus2,0.0255463600834,-0.0366521555914,-0.89929839338,0.435047586639,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0032734040545,0.0391075326015,-0.0181320519687,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.373514790253,-0.992225175175,-9.82844126854,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1474475923191112975,5715,1474475923197088956,sparus2,0.0249219863697,-0.0349626003682,-0.900933147726,0.431828640203,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,-0.0444515693475,0.0235670262026,-0.0337144732439,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,-0.236885331883,-1.00960895334,-9.75214726752,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1474475923292119596,5716,1474475923296917915,sparus2,0.0216263521009,-0.0285035053836,-0.902536337553,0.429124702705,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,-0.117144146384,0.0181372615876,-0.0606382656225,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,-0.288907683979,-0.12645064624,-9.67186403765,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1474475923384633013,5717,1474475923392328977,sparus2,0.0216547669843,-0.0232364388744,-0.904852837294,0.42453796275,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,-0.151658520021,0.016211875596,-0.0745921919359,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.723322925915,-1.5615217668,-9.54982722574,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1474475923486844497,5718,1474475923494988918,sparus2,0.0171797553511,-0.0134369375852,-0.906766925306,0.421067747381,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,-0.193775513365,0.00281296438871,-0.0863450694266,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0896732959269,0.198593378327,-9.47638853554,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1474475923589607732,5719,1474475923595233917,sparus2,0.0140064390657,-0.00374400930915,-0.908277864118,0.41811616043,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,-0.171333962866,0.0104047440985,-0.0981225219872,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.440212233263,0.395577780839,-9.61915294412,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1474475923690217613,5720,1474475923692610025,sparus2,0.0133306395972,0.000359722071013,-0.910350098306,0.413624060183,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,-0.0911422615364,0.0184682673287,-0.0934615980335,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.366144946468,-0.428729707196,-9.28545733719,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1474475923786739514,5721,1474475923787487030,sparus2,0.0150841972825,0.00144949992252,-0.912570729132,0.408638018635,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,-0.0216262201761,0.0262394759457,-0.106256656946,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.842804912948,-0.717904173341,-9.50609591406,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1474475923888648596,5722,1474475923894114971,sparus2,0.0172962301329,0.00138268201206,-0.914419741985,0.40439518306,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0309170444165,0.0302122082254,-0.094854696603,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.466258230083,0.08714755446,-9.6431988874,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1474475923989516124,5723,1474475923996757030,sparus2,0.0203474258795,-0.000463796837208,-0.916270008324,0.40004379635,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.062548152825,0.0352965283248,-0.0934721343764,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.526270338799,-0.0837394850775,-9.33672596521,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1474475924091417375,5724,1474475924089211940,sparus2,0.0236955364696,-0.00339080541976,-0.917939679599,0.395997182575,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.082341099675,0.0226583602486,-0.0849924258305,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.679402091069,-0.289387766559,-9.7428605178,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1474475924185188217,5725,1474475924188885927,sparus2,0.0267357670954,-0.00637936327436,-0.919622834284,0.391839693173,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0712540267096,0.0216139959709,-0.0806624941041,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.787094035525,-0.618767889352,-10.0010290385,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1474475924281166463,5726,1474475924286386966,sparus2,0.0281364073724,-0.00790535028624,-0.92105284753,0.388339413495,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.049158371691,0.00624123815647,-0.0789280046959,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.556986961996,-0.221889259416,-9.6661908128,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1474475924392619029,5727,1474475924389390945,sparus2,0.0295156265233,-0.00842383867806,-0.92237332374,0.385078327598,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0164722546083,-0.000662771641768,-0.0724998585101,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.84108676207,-0.46829181766,-9.60737298436,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
