%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status.status,field.status.service,field.latitude,field.longitude,field.altitude,field.position_covariance0,field.position_covariance1,field.position_covariance2,field.position_covariance3,field.position_covariance4,field.position_covariance5,field.position_covariance6,field.position_covariance7,field.position_covariance8,field.position_covariance_type
1474475445548278851,1257,1474475445626388771,/gps,1,1,39.7178383333,2.58665833333,43.8,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475446568645102,1258,1474475446646897904,/gps,1,1,39.7178383333,2.58665833333,43.8,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475447565485676,1259,1474475447651090673,/gps,1,1,39.7178383333,2.58665833333,43.8,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475448500852232,1260,1474475448579770408,/gps,1,1,39.7178383333,2.58665833333,43.8,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475449497595163,1261,1474475449577390634,/gps,1,1,39.7178383333,2.58665833333,43.8,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475450518978225,1262,1474475450592361664,/gps,1,1,39.7178383333,2.58665833333,43.8,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475451517565480,1263,1474475451596918575,/gps,1,1,39.7178383333,2.58665833333,43.8,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475452493104820,1264,1474475452574985587,/gps,1,1,39.7178383333,2.58665833333,43.8,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475453488972658,1265,1474475453574606461,/gps,1,1,39.7178383333,2.58665833333,43.8,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475454502032669,1266,1474475454585611136,/gps,1,1,39.7178383333,2.58665833333,43.8,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475455548561949,1267,1474475455628675352,/gps,1,1,39.7178383333,2.58665833333,43.8,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475456554233828,1268,1474475456639231722,/gps,1,1,39.7178383333,2.58665833333,43.8,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475457505754876,1269,1474475457589344640,/gps,1,1,39.7178383333,2.58665833333,43.8,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475458544780343,1270,1474475458628572769,/gps,1,1,39.7178383333,2.58665833333,43.8,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475459539564232,1271,1474475459619904181,/gps,1,1,39.7178383333,2.58665833333,43.8,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475460503273282,1272,1474475460589554451,/gps,1,1,39.7178383333,2.58665833333,43.8,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475461517763246,1273,1474475461599118294,/gps,1,1,39.7178383333,2.58665833333,43.8,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475462559319149,1274,1474475462641253257,/gps,1,1,39.7178383333,2.58665833333,43.8,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475463537549054,1275,1474475463622288922,/gps,1,1,39.7178383333,2.58665833333,43.8,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475464564508365,1276,1474475464649420126,/gps,1,1,39.7178383333,2.58665833333,43.8,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475465538976636,1277,1474475465628570529,/gps,1,1,39.7178383333,2.58665833333,43.7,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475466521585028,1278,1474475466604654057,/gps,1,1,39.7178383333,2.58665833333,43.7,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475467524754283,1279,1474475467609132460,/gps,1,1,39.7178383333,2.58665833333,43.7,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475468571030100,1280,1474475468652146190,/gps,1,1,39.7178383333,2.58665833333,43.7,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475469548785976,1281,1474475469628501983,/gps,1,1,39.7178383333,2.58665833333,43.7,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475470559359774,1282,1474475470640040791,/gps,1,1,39.7178383333,2.58665833333,43.7,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475471510445519,1283,1474475471596408545,/gps,1,1,39.7178383333,2.58665833333,43.7,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475472513209496,1284,1474475472597381936,/gps,1,1,39.7178383333,2.58665833333,43.7,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475473500725614,1285,1474475473587091889,/gps,1,1,39.7178383333,2.58665833333,43.7,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475474504550756,1286,1474475474580422069,/gps,1,1,39.7178383333,2.58665833333,43.7,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475475508376486,1287,1474475475590215438,/gps,1,1,39.7178383333,2.58665833333,43.7,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475476545367567,1288,1474475476632704137,/gps,1,1,39.7178383333,2.58665833333,43.7,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475477562150675,1289,1474475477649531387,/gps,1,1,39.7178383333,2.58665833333,43.7,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475478493625350,1290,1474475478573619476,/gps,1,1,39.7178383333,2.58665833333,43.7,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475479550629634,1291,1474475479638915881,/gps,1,1,39.7178383333,2.58665833333,43.7,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475480543862491,1292,1474475480631725040,/gps,1,1,39.7178383333,2.58665833333,43.7,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475481541626306,1293,1474475481630783344,/gps,1,1,39.7178383333,2.58665833333,43.7,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475482501113181,1294,1474475482579950573,/gps,1,1,39.7178383333,2.58665833333,43.7,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475483547822995,1295,1474475483633273359,/gps,1,1,39.7178383333,2.58665833333,43.7,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475484566894990,1296,1474475484654006719,/gps,1,1,39.7178383333,2.58665833333,43.7,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475485546102935,1297,1474475485636377497,/gps,1,1,39.7178383333,2.58665833333,43.7,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
