% frame a, frame b, inliers, ax, ay, az, aqx, aqy, aqz, aqw, bx, by, bz, bqx, bqy, bqz, bqw
160,325,125,-38.7997,-34.4624,-0.653171,0.0969891,0.199255,0.942248,0.251116,-39.815,-33.5978,-0.798209,-0.184049,-0.0740619,-0.671177,0.714257
222,320,46,-40.2111,-31.4851,-1.33469,0.0409324,0.241159,0.958841,0.144189,-41.6363,-31.4781,-1.37836,-0.189692,-0.0449908,-0.167762,0.966358
188,301,245,-49.44,-38.6495,1.02171,-0.0880283,-0.0703712,-0.0682763,0.991281,-49.1155,-39.477,1.26723,-0.0948765,0.0837404,0.596766,0.792374
42,438,84,-53.4235,-36.6154,0.3906,-0.0739192,-0.205385,-0.762171,0.609465,-54.0221,-37.4079,0.662827,-0.125252,0.0290145,0.594446,0.793791
223,319,52,-40.6001,-31.4441,-1.44059,0.0372668,0.212117,0.966642,0.138639,-42.5256,-31.0705,-1.43149,-0.177533,-0.0339269,-0.136736,0.973979
102,306,109,-46.2225,-33.9531,-0.208146,-0.00855583,0.209996,0.970395,0.119003,-47.3526,-34.8135,0.245836,-0.13546,0.0744801,0.618361,0.770541
313,457,74,-46.0857,-31.076,-1.49698,-0.168344,0.0601201,0.276,0.944388,-45.7091,-30.5577,-1.36805,-0.179292,-0.0869027,-0.471474,0.859078
37,440,97,-52.1722,-34.867,-0.384805,0.00334002,0.209064,0.919784,-0.332081,-53.5602,-35.839,0.0890166,-0.130481,0.0452711,0.573645,0.807377
37,441,74,-52.1722,-34.867,-0.384805,0.00334002,0.209064,0.919784,-0.332081,-53.2791,-35.2525,-0.0730488,-0.144862,0.0573509,0.573166,0.804492
229,453,16,-46.0772,-30.1574,-1.46974,0.0162834,0.251672,0.959281,0.127184,-46.9144,-30.0928,-1.7946,-0.169121,-0.108492,-0.14919,0.968179
385,453,47,-47.1191,-29.7042,-1.94524,-0.186548,-0.048962,-0.00528592,0.981211,-46.9144,-30.0928,-1.7946,-0.169121,-0.108492,-0.14919,0.968179
112,441,34,-51.7388,-33.9652,-0.780262,-0.0116067,0.277413,0.871458,-0.404313,-53.2791,-35.2525,-0.0730488,-0.144862,0.0573509,0.573166,0.804492
383,451,193,-48.3444,-29.9802,-1.87227,-0.146443,-0.0156585,0.180117,0.972557,-48.2935,-29.871,-1.84588,-0.202169,-0.0585547,-0.0964277,0.972831
285,481,19,-44.2469,-45.8712,2.94701,0.0271299,0.11147,0.987504,0.108048,-45.8657,-45.5296,3.07992,-0.0365879,-0.0699662,-0.199442,0.976724
283,346,98,-43.0957,-45.995,2.91331,0.0165669,0.130024,0.991289,0.0128458,-43.183,-45.5381,2.8847,0.032958,0.101364,0.976893,-0.185255
161,323,71,-39.8199,-33.965,-0.631817,0.0378028,0.230788,0.946205,0.223615,-40.149,-32.7473,-1.26483,-0.147853,-0.065826,-0.5669,0.807732
154,209,233,-37.5503,-37.5517,0.272584,-0.0122009,0.190903,0.632529,0.750542,-37.777,-37.7584,0.380234,-0.0536344,0.192682,0.574335,0.793811
117,182,94,-52.9391,-36.3143,0.340553,-0.0378282,-0.19581,-0.748661,0.632245,-53.1043,-36.4702,0.234564,0.0164119,-0.193711,-0.455337,0.868835
355,418,132,-49.276,-45.1698,3.00077,0.039667,0.123215,0.979966,0.151362,-48.9352,-45.1345,2.94327,0.0227428,0.128138,0.987356,0.0905058
184,370,198,-52.2861,-37.5585,0.778109,-0.112975,-0.143986,-0.245294,0.952017,-51.7581,-38.8979,1.00568,-0.104108,0.069705,0.59387,0.794746
53,364,74,-53.0927,-41.0756,1.5073,-0.0863679,-0.114451,-0.195724,0.970121,-52.452,-42.3978,2.02423,-0.064105,0.0977551,0.727952,0.675589
