% timestamp, frame id, x, y, z, qx, qy, qz, qw
1474477333.303010,98,-42.308943,-34.664490,-0.142590,0.003975,0.179024,0.974731,0.133543
1474477336.103465,99,-43.398027,-34.470516,-0.158420,-0.015849,0.204332,0.971386,0.120025
1474477338.902267,100,-44.484981,-34.160688,-0.193745,-0.031998,0.209117,0.971267,0.109024
1474477341.035531,101,-45.353960,-34.094505,-0.225923,-0.021220,0.188690,0.975256,0.113231
1474477343.035503,102,-46.222479,-33.953115,-0.208146,-0.008556,0.209996,0.970395,0.119003
1474477345.569779,103,-47.178503,-33.632318,-0.106386,0.001111,0.216222,0.967188,0.133393
1474477347.303557,104,-47.726294,-33.460751,-0.134723,-0.000117,0.201589,0.972515,0.116517
1474477348.768685,105,-48.339581,-33.433680,-0.178071,-0.001799,0.228655,0.968284,0.100696
1474477350.102607,106,-48.789821,-33.347806,-0.183441,0.015255,0.239679,0.962335,0.127406
1474477351.569344,107,-49.213996,-33.214640,-0.131098,0.006284,0.204634,0.967402,0.149057
1474477353.035184,108,-49.509937,-33.174659,-0.263098,-0.018030,0.221213,0.966813,0.126540
1474477354.768481,109,-50.071572,-33.074189,-0.406319,-0.059966,0.203389,0.963329,0.164418
1474477358.236610,110,-50.703042,-33.140766,-0.766050,-0.073704,0.212167,0.950420,-0.215068
1474477359.835830,111,-51.250971,-33.557354,-0.808014,-0.097715,0.244681,0.925285,-0.272820
1474477362.769110,112,-51.738795,-33.965231,-0.780262,-0.011607,0.277413,0.871458,-0.404313
1474477365.968107,113,-52.373218,-34.488385,-0.291985,-0.080804,-0.285264,-0.806534,0.511466
1474477369.568092,114,-52.692449,-35.237045,0.130643,-0.073591,-0.228744,-0.760945,0.602680
1474477371.168942,115,-52.747259,-35.589569,0.158143,-0.073293,-0.218802,-0.749625,0.620336
1474477372.768646,116,-52.898207,-36.028953,0.308005,-0.055835,-0.214535,-0.753662,0.618749
1474477373.968662,117,-52.939060,-36.314305,0.340553,-0.037828,-0.195810,-0.748661,0.632245
1474477375.311123,118,-52.889371,-36.526624,0.316195,-0.025927,-0.202162,-0.743811,0.636555
1474477378.901671,119,-53.056978,-37.511812,0.554632,-0.040096,-0.208526,-0.736037,0.642775
