%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status.status,field.status.service,field.latitude,field.longitude,field.altitude,field.position_covariance0,field.position_covariance1,field.position_covariance2,field.position_covariance3,field.position_covariance4,field.position_covariance5,field.position_covariance6,field.position_covariance7,field.position_covariance8,field.position_covariance_type
1474475452492278795,1264,1474475452574985587,/gps,1,1,39.7178383333,2.58665833333,43.8,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475453489301567,1265,1474475453574606461,/gps,1,1,39.7178383333,2.58665833333,43.8,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475454504806826,1266,1474475454585611136,/gps,1,1,39.7178383333,2.58665833333,43.8,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475455548600342,1267,1474475455628675352,/gps,1,1,39.7178383333,2.58665833333,43.8,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475456554811286,1268,1474475456639231722,/gps,1,1,39.7178383333,2.58665833333,43.8,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475457506112108,1269,1474475457589344640,/gps,1,1,39.7178383333,2.58665833333,43.8,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475458544834102,1270,1474475458628572769,/gps,1,1,39.7178383333,2.58665833333,43.8,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475459539259052,1271,1474475459619904181,/gps,1,1,39.7178383333,2.58665833333,43.8,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475460503225620,1272,1474475460589554451,/gps,1,1,39.7178383333,2.58665833333,43.8,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475461517537608,1273,1474475461599118294,/gps,1,1,39.7178383333,2.58665833333,43.8,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475462556886491,1274,1474475462641253257,/gps,1,1,39.7178383333,2.58665833333,43.8,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475463537970977,1275,1474475463622288922,/gps,1,1,39.7178383333,2.58665833333,43.8,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
