% frame a, frame b, inliers, ax, ay, az, aqx, aqy, aqz, aqw, bx, by, bz, bqx, bqy, bqz, bqw
197,285,137,-41.4834,-31.4818,-2.90364,0.0514734,0.25759,0.957805,0.116655,-43.1376,-31.2372,-2.99779,-0.190683,-0.01407,-0.0911643,0.977308
6,246,76,-39.7082,-43.8568,1.73093,-0.069002,0.175902,0.588611,0.786025,-38.8772,-42.5293,1.18337,-0.154859,-0.114284,-0.764834,0.614806
7,245,66,-39.6613,-43.4147,1.70887,-0.0720513,0.186569,0.571787,0.795651,-38.9105,-42.2174,1.09951,-0.157119,-0.129026,-0.750614,0.628685
162,272,169,-49.7686,-39.0525,0.182028,-0.142605,-0.0560861,-0.06275,0.986195,-49.4091,-40.3166,0.634613,-0.135806,0.117998,0.602639,0.77747
200,280,207,-44.894,-30.9002,-2.95803,0.0213959,0.265282,0.958111,0.105783,-46.3373,-31.4816,-2.93606,-0.20395,0.0538628,0.284399,0.935212
87,277,143,-46.1878,-34.1823,-1.51247,-0.0484402,0.241432,0.956579,0.155948,-47.6451,-34.396,-1.43398,-0.14546,0.128328,0.597673,0.777921
74,183,60,-37.8144,-38.8258,-0.268506,-0.068393,0.149499,0.629869,0.759103,-38.063,-38.8222,-0.173859,-0.0538698,0.111069,0.535794,0.835276
122,244,171,-39.7103,-42.4922,1.36086,-0.196471,0.119752,0.341935,0.91112,-38.7004,-41.308,0.796716,-0.165112,-0.153629,-0.730679,0.644395
95,154,161,-52.3188,-34.5432,-1.80919,0.0569491,0.326722,0.8325,-0.443794,-52.9117,-34.3187,-1.65222,-0.0983016,-0.256654,-0.78529,0.554784
322,380,11,-48.6871,-45.457,2.68431,0.0320813,0.18321,0.974803,0.123142,-48.2516,-45.2872,2.55417,0.0308796,0.211385,0.976914,-0.000891023
198,353,127,-42.9872,-31.1972,-2.85055,0.0317979,0.272785,0.958623,0.0749571,-44.2261,-30.6236,-3.1786,-0.206355,-0.0563504,-0.154038,0.964632
146,343,411,-48.9451,-32.2841,-2.39633,-0.0253328,0.26982,0.952157,0.141256,-49.8335,-32.7778,-2.21725,-0.205789,0.142107,0.592923,0.76544
