% timestamp, frame id, x, y, z, qx, qy, qz, qw
1474477464.366905,134,-38.939682,-34.644356,-1.858397,0.033980,0.228706,0.942092,0.242901
1474477467.965197,135,-39.806292,-34.252552,-1.921930,0.014893,0.240266,0.950826,0.194887
1474477469.965619,136,-40.193796,-33.979632,-1.925321,0.022392,0.238728,0.953833,0.180859
1474477473.698364,137,-41.171045,-33.663275,-2.105278,0.021753,0.220055,0.968514,0.114386
1474477476.498280,138,-41.864710,-33.508464,-2.142157,-0.004444,0.211154,0.970363,0.117428
1474477478.232865,139,-42.583784,-33.325740,-2.151019,0.011645,0.232212,0.966873,0.105347
1474477480.365503,140,-43.433626,-33.107682,-2.043148,0.055472,0.249420,0.961695,0.099270
1474477482.764765,141,-44.233079,-32.850314,-1.914660,0.055277,0.235402,0.965914,0.092418
1474477484.634744,142,-44.984787,-32.926082,-1.928441,0.011303,0.246863,0.965225,0.085280
1474477489.964585,143,-47.194705,-32.543093,-2.192984,-0.028569,0.268038,0.955962,0.116086
1474477491.698769,144,-47.766408,-32.506224,-2.254456,-0.013519,0.275960,0.950930,0.139265
1474477494.903750,145,-48.945077,-32.284150,-2.396327,-0.025333,0.269820,0.952157,0.141256
1474477496.505955,146,-49.417877,-32.178574,-2.420351,-0.051007,0.284079,0.949212,0.125277
1474477499.698222,147,-50.347249,-32.141630,-2.781608,-0.056863,0.254494,0.963563,0.059555
1474477503.032402,148,-51.137816,-32.323185,-2.758619,-0.024824,0.345920,0.879385,-0.326199
1474477504.501989,149,-51.407603,-32.407076,-2.578993,0.048168,0.260444,0.899877,-0.346511
1474477508.230782,150,-52.071189,-33.165112,-2.351548,0.049606,0.294673,0.835561,-0.461025
1474477510.365264,151,-52.364388,-33.603358,-2.190655,0.061342,0.289677,0.829168,-0.474136
1474477512.363961,152,-52.558578,-33.857867,-1.708292,-0.031504,-0.266823,-0.812811,0.516867
1474477514.097234,153,-52.911746,-34.318650,-1.652223,-0.098302,-0.256654,-0.785290,0.554784
1474477516.232061,154,-53.191522,-34.667103,-1.382786,-0.115082,-0.268561,-0.751476,0.591536
1474477521.963697,155,-53.443819,-35.887323,-0.953672,-0.078263,-0.212046,-0.715705,0.660816
1474477527.164190,156,-53.230557,-37.056691,-0.527037,-0.109001,-0.140879,-0.421860,0.888992
1474477530.896739,157,-52.758994,-37.713347,-0.127420,-0.106174,-0.137854,-0.289020,0.941377
1474477535.431722,158,-51.867723,-38.314837,0.085395,-0.110922,-0.072279,-0.164765,0.977407
1474477537.430513,159,-51.476818,-38.560412,0.096811,-0.134229,-0.059395,-0.104038,0.983682
1474477539.429836,160,-50.911061,-38.796848,0.185346,-0.119014,-0.039004,-0.086005,0.988391
1474477543.963046,161,-49.768616,-39.052525,0.182028,-0.142605,-0.056086,-0.062750,0.986195
1474477545.432343,162,-49.422982,-39.031888,0.260690,-0.158884,-0.068076,-0.050241,0.983665
1474477547.433289,163,-48.627318,-39.122861,0.338734,-0.159577,-0.082515,-0.039259,0.982947
1474477549.296215,164,-47.907477,-39.193050,0.470339,-0.137878,-0.043580,-0.019497,0.989298
1474477553.030731,165,-46.320102,-39.323495,0.610654,-0.144596,-0.019032,-0.038111,0.988573
1474477554.496770,166,-45.709473,-39.331796,0.597166,-0.121559,-0.020668,-0.053729,0.990913
1474477555.962670,167,-45.231143,-39.358676,0.642046,-0.182542,0.006356,-0.123637,0.975373
1474477558.762599,168,-44.014404,-39.660049,0.572862,-0.137250,0.020733,-0.037412,0.989613
1474477559.695970,169,-43.679466,-39.689223,0.554115,-0.090235,0.008012,-0.039391,0.995109
1474477560.763249,170,-43.235050,-39.673817,0.615268,-0.145484,-0.022491,-0.064144,0.987023
1474477561.962517,171,-42.724174,-39.776469,0.669556,-0.119350,-0.042986,-0.097941,0.987074
1474477563.162447,172,-42.327446,-39.876730,0.642877,-0.178254,-0.033369,-0.093957,0.978920
1474477565.566525,173,-41.582855,-40.074885,0.553239,-0.121738,0.065930,-0.106300,0.984649
1474477568.362306,174,-40.852885,-40.348974,0.593338,-0.174843,0.066969,-0.152778,0.970363
1474477570.230402,175,-40.596247,-40.489454,0.616884,-0.232201,0.060647,0.021415,0.970539
1474477572.228925,176,-39.830501,-40.302345,0.544128,-0.052911,0.149262,0.223384,0.961780
1474477575.695462,177,-39.225510,-40.101593,0.187883,-0.184329,0.140832,0.393390,0.889625
