%time,field.header.seq,field.header.stamp,field.header.frame_id,field.header_dvl,field.date,field.salinity,field.temperature,field.depth,field.sound_speed,field.test,field.wi_x_axis,field.wi_y_axis,field.wi_z_axis,field.wi_error,field.wi_status,field.bi_x_axis,field.bi_y_axis,field.bi_z_axis,field.bi_error,field.bi_status,field.ws_transverse,field.ws_longitudinal,field.ws_normal,field.ws_status,field.bs_transverse,field.bs_longitudinal,field.bs_normal,field.bs_status,field.we_east,field.we_north,field.we_upwards,field.we_status,field.be_east,field.be_north,field.be_upwards,field.be_status,field.wd_east,field.wd_north,field.wd_upwards,field.wd_range,field.wd_time,field.bd_east,field.bd_north,field.bd_upwards,field.bd_range,field.bd_time,field.raw_data
1475331491260496465,2201,1475331491260457992,dvl,,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,-0.256127550235,0.0833098410871,-0.0376725135101,0.0,A,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.9010038376,0.0,
1475331491451993035,2202,1475331491460527896,dvl,,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,-0.182875336852,0.144906086734,-0.00775468232148,0.0,A,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.8963632584,0.0,
1475331491653729920,2203,1475331491660717010,dvl,,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,-0.208738342375,0.198166735779,-0.044589422214,0.0,A,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.8904800415,0.0,
1475331491854861583,2204,1475331491860800981,dvl,,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,-0.189328746504,0.166366319563,-0.0361083047804,0.0,A,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.8824176788,0.0,
1475331492056335734,2205,1475331492060592889,dvl,,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,-0.286385060972,0.107010646968,-0.01427526512,0.0,A,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.8769702911,0.0,
1475331492257664517,2206,1475331492260552883,dvl,,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,-0.179049843502,0.123655346199,0.00479532962912,0.0,A,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.8673219681,0.0,
1475331492459064191,2207,1475331492460258960,dvl,,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,-0.185760679133,0.148699945196,-0.0276314472265,0.0,A,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.8603172302,0.0,
1475331492660340577,2208,1475331492661119937,dvl,,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,-0.144321345514,0.202435722759,0.023724421549,0.0,A,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.8551921844,0.0,
1475331492861559821,2209,1475331492860687971,dvl,,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,-0.238054637755,0.18280564704,0.0107787953226,0.0,A,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.851360321,0.0,
1475331493053302692,2210,1475331493061290025,dvl,,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,-0.198390198329,0.181953488111,-0.00414444757998,0.0,A,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.8498630524,0.0,
